posCode	x	y	z	wx	wy	wz	AreaFactor	NumberFactor	wx/wz	wy/wz	SymmetricNumber	color	colorcode
1,-1_2,-2_2,-4	0.073544151	-0.124266802	0.989341401	0.071083451	-0.126681046	0.989299725	0.001298031	24	0.071852291	-0.128051229	4	26	0x94889A
1,-1_2,-2_3,-2	0.09963188	-0.074125346	0.991996867	0.099155502	-0.071310183	0.99237917	0.005713994	30	0.099916952	-0.071857799	2	11	0x5D8DF5
1,-1_2,-2_3,-3	0.099412205	-0.098522808	0.989809647	0.098917123	-0.098913288	0.989993288	0.024607725	25	0.099916963	-0.099913089	1	27	0xD0426E
1,-1_2,-2_3,-4	0.098963244	-0.124014084	0.987072773	0.098613111	-0.126376606	0.986935384	0.005589483	20	0.099918508	-0.128049524	2	12	0xFE2284
1,-1_2,-2_4,-2	0.123913864	-0.074125346	0.989341401	0.126681455	-0.071089125	0.989299356	0.001298248	24	0.128051691	-0.071858052	4	7	0x3E6E6C
1,-1_2,-2_4,-3	0.123640651	-0.098522808	0.987160036	0.126378738	-0.098608205	0.986935402	0.005590908	20	0.128051682	-0.099913536	2	1	0x53B6C2
1,-1_2,-2_4,-4	0.12335612	-0.123444684	0.98447665	0.125991352	-0.12599559	0.983905019	0.00127033	16	0.128052352	-0.128056659	4	3	0x772E10
1,-1_2,-3_2,-4	0.073417422	-0.132524617	0.988202323	0.070977086	-0.137513734	0.987816731	0.002692199	24	0.071852484	-0.139209764	2	28	0xA2ACDF
1,-1_2,-3_2,-5	0.073002697	-0.171314743	0.982330041	0.070631511	-0.168891412	0.983008559	0.00126509	18	0.071852387	-0.171810724	4	24	0xCD5661
1,-1_2,-3_3,-4	0.098883613	-0.132137489	0.985950577	0.098463832	-0.137184409	0.985463178	0.011590359	20	0.099916297	-0.139208052	1	29	0xEBD1DD
1,-1_2,-3_3,-5	0.098197959	-0.17095094	0.980114886	0.097992324	-0.168486964	0.980689304	0.005448961	15	0.099921885	-0.171804631	2	13	0x7811E1
1,-1_2,-3_4,-4	0.123288208	-0.131616116	0.983351586	0.125804918	-0.136771266	0.982445918	0.002633583	16	0.128052767	-0.139215059	2	16	0xB1DC76
1,-1_2,-3_4,-5	0.122526343	-0.170538877	0.97752828	0.125198557	-0.167983333	0.977715948	0.001238882	12	0.128052077	-0.171812	4	7	0x3E6E6C
1,-1_3,-1_4,-2	0.132280707	-0.06543126	0.988716673	0.137607905	-0.059918003	0.988492002	0.005628841	24	0.139209933	-0.060615567	1	4	0x7EE018
1,-1_3,-1_5,-2	0.17164048	-0.064344857	0.982803343	0.169012588	-0.05962429	0.983673056	0.002647661	18	0.171817849	-0.06061393	2	2	0x1C5F5E
1,-1_3,-2_4,-2	0.132235055	-0.07378358	0.988211892	0.137515247	-0.070981446	0.98781627	0.00269199	24	0.13921136	-0.071856931	2	14	0xC013DC
1,-1_3,-2_4,-3	0.131890122	-0.098492528	0.986018646	0.137186968	-0.098459565	0.985463037	0.011592502	20	0.139210668	-0.099911982	1	8	0x9D1E9C
